State, Average Weather, Average Bikes, Total Population
AK,13.26,None,291247
AZ,69.22,541.00,2655026
CA,54.544285714285714,2132.50,11151300
CO,40.78333333333333,918.00,1580744
DC,62.29,13047.00,689545
FL,72.8725,2598.00,2084384
GA,62.91,728.00,498715
HI,73.54,2429.00,350964
IL,41.27,16110.00,2746388
IN,45.77,801.00,887642
KS,46.85,None,397532
KY,52.89,None,955615
LA,71.67,None,383997
MA,54.55,8961.00,675647
MD,64.54,None,585708
MI,39.81,1044.00,639111
MN,41.595,None,741481
MO,48.79,None,508090
NC,66.8575,339.00,1924785
NE,44.91,477.00,777133
NJ,59.1,None,603998
NM,53.19,None,564559
NV,69.06,314.00,1222040
NY,58.5,66458.00,8804190
OH,55.10333333333333,894.50,1587689
OK,52.115,None,1094120
OR,46.87,2146.00,652503
PA,54.815,3020.00,1906768
TN,58.82,319.50,1322551
TX,65.83999999999999,512.00,8600792
VA,72.19,None,459470
WA,45.97,None,737015
WI,39.56,1432.00,577222
